experiment_name,precision,recall,mAP50,mAP50-95,training_time_ms,eval_time_ms
ir-3378715402,0.966680,0.921020,0.966920,0.619640,1163352,4706
ir-3378715402,0.957100,0.944280,0.957030,0.619590,1203053,4818
ir-3378715402,0.958030,0.966190,0.978090,0.590380,1168847,5046
ir-3378715402,0.972930,0.950700,0.966840,0.598540,1177655,5045
ir-3378715402,0.983360,0.943070,0.982450,0.598050,1162560,4615
ir-3378715402,0.916020,0.873020,0.912090,0.485780,1310645,5944
ir-3378715402,0.994500,0.957330,0.983560,0.616910,1379934,4836
ir-3378715402,0.957030,0.942730,0.958880,0.583930,1252749,4935
ir-3378715402,0.971550,0.925930,0.966770,0.605140,1237238,4820
ir-3378715402,0.959920,0.925530,0.950840,0.614250,1277060,4700
ir-3378715402,0.971700,0.973540,0.986730,0.610070,1207013,4724
ir-3378715402,0.922480,0.947090,0.966120,0.622380,1181322,4727
ir-3378715402,0.976790,0.925930,0.955120,0.606240,1175020,4754
ir-3378715402,0.962930,0.920630,0.958230,0.597610,1166184,4813
ir-3378715402,0.969570,0.952130,0.969950,0.610930,1200894,4665
ir-4213948446,0.963680,0.984130,0.990270,0.622240,1229783,4710
ir-4213948446,0.949560,0.910050,0.931330,0.593980,1210710,4749
ir-4213948446,0.941930,0.944150,0.971210,0.596130,1152350,4753
ir-4213948446,0.988000,0.941800,0.974620,0.616130,1216054,4839
ir-4213948446,0.981180,0.936170,0.982000,0.606310,1195962,4656
ir-4213948446,0.957500,0.957670,0.969220,0.596230,1189428,4638
ir-4213948446,0.964010,0.931220,0.971430,0.598080,1141946,4781
ir-4213948446,0.964140,0.936510,0.963140,0.606020,1130427,4743
ir-4213948446,0.967520,0.945640,0.952600,0.585050,1165016,4772
ir-4213948446,0.964720,0.962770,0.976610,0.611940,1183655,4785
ir-4213948446,0.956900,0.939840,0.961790,0.621030,1177984,4735
ir-4213948446,0.947600,0.936510,0.952600,0.597910,1136710,4745
ir-4213948446,0.961950,0.936380,0.978930,0.611910,1171491,4823
ir-4213948446,0.972020,0.919090,0.956070,0.587180,1176778,4606
ir-4213948446,0.957530,0.959340,0.973860,0.605270,1172688,4674
ir-4213948446,0.983590,0.951250,0.968600,0.605900,1139818,4710
ir-4213948446,0.975260,0.957670,0.982310,0.609180,1133445,4697
ir-4213948446,0.949220,0.941800,0.967960,0.584060,1179333,4728
ir-4213948446,0.956070,0.921170,0.961300,0.605840,1209556,4677
ir-4213948446,0.960860,0.930850,0.958920,0.601340,1184196,4660
ir-4213948446,0.973610,0.976110,0.990780,0.613810,1143802,4945
ir-4213948446,0.961780,0.932080,0.971060,0.616380,1156680,4788
ir-4213948446,0.971940,0.941800,0.962640,0.586990,1202455,4911
ir-4213948446,0.962780,0.915340,0.949630,0.587740,1174365,4770
ir-4213948446,0.981600,0.973400,0.978030,0.621470,1151918,4891
ir-1521997286,0.966740,0.984130,0.987580,0.625180,1130311,4693
ir-1521997286,0.939680,0.906680,0.935360,0.580660,1174106,4702
ir-1521997286,0.980350,0.931220,0.978770,0.598190,1224401,5205
ir-1521997286,0.971940,0.947090,0.967200,0.598340,1295274,4624
ir-1521997286,0.988610,0.930850,0.965820,0.621400,1243926,4690
ir-1521997286,0.964640,0.947090,0.972800,0.583440,1191600,4641
ir-1521997286,0.967880,0.956470,0.971490,0.609720,1193274,4973
ir-1521997286,0.969010,0.925930,0.963740,0.605290,1152733,4966
ir-1521997286,0.951170,0.927510,0.959170,0.599780,1188574,4826
ir-1521997286,0.978370,0.962460,0.982900,0.632080,1164729,4667
ir-1521997286,0.941630,0.920630,0.960470,0.605280,1161057,4721
ir-1521997286,0.963880,0.925930,0.947580,0.618780,1145462,4686
ir-1521997286,0.973600,0.975730,0.991500,0.636750,1147932,4905
ir-1521997286,0.956360,0.927680,0.965770,0.596520,1161725,5021
ir-1521997286,0.913570,0.899560,0.928210,0.511890,1205817,5589
ir-1521997286,0.994270,0.941800,0.968330,0.625340,1276279,4775
ir-1521997286,0.982830,0.973540,0.986180,0.604680,1169399,4735
ir-1521997286,0.960220,0.952380,0.961930,0.591850,1183212,4971
ir-1521997286,0.958390,0.910050,0.967380,0.609160,1135885,4821
ir-1521997286,0.937330,0.925530,0.952190,0.610900,1129854,4706
ir-1521997286,0.977280,0.952380,0.983710,0.610880,1149262,4838
ir-1521997286,0.978240,0.951330,0.979800,0.633740,1192157,4718
ir-1521997286,0.961560,0.926550,0.947860,0.583010,1193671,4828
ir-1521997286,0.961570,0.926850,0.951980,0.577450,1150194,4716
ir-1521997286,0.975620,0.952130,0.970910,0.595900,1183723,4684
hy-3754523883,0.968050,0.961720,0.981550,0.617530,1223548,5677
hy-3754523883,0.965560,0.890110,0.939410,0.580440,1227384,5031
hy-3754523883,0.953080,0.925930,0.964380,0.588280,1223315,4935
hy-3754523883,0.994400,0.939020,0.977110,0.601470,1236974,4699
hy-3754523883,0.961290,0.962770,0.978470,0.617090,1200836,4733
hy-3754523883,0.972710,0.942820,0.977950,0.600940,1206450,4613
hy-3754523883,0.946070,0.928200,0.953510,0.586320,1186764,4774
hy-3754523883,0.960210,0.947090,0.966590,0.591500,1156052,4686
hy-3754523883,0.963670,0.931220,0.968650,0.608600,1135969,4915
hy-3754523883,0.995390,0.957450,0.985290,0.626750,1166096,4699
hy-3754523883,0.956560,0.932050,0.949980,0.588150,1179370,4639
hy-3754523883,0.972200,0.925290,0.961920,0.612030,1219851,4827
hy-3754523883,0.978470,0.961840,0.981900,0.611610,1165285,4630
hy-3754523883,0.966090,0.947090,0.967750,0.601100,1178605,4702
hy-3754523883,0.976580,0.952130,0.974380,0.607050,1170076,4707
hy-3754523883,0.989020,0.953350,0.982300,0.617490,1157210,4718
hy-3754523883,0.979420,0.947090,0.972270,0.599630,1129816,4813
hy-3754523883,0.958020,0.952380,0.965110,0.573630,1127288,4826
hy-3754523883,0.950650,0.925930,0.960440,0.601630,1128523,4680
hy-3754523883,0.971910,0.920110,0.959320,0.603340,1133572,4573
hy-3754523883,0.962500,0.950660,0.988870,0.610020,1144616,4637
hy-3754523883,0.949570,0.947090,0.976050,0.642730,1131639,4692
hy-3754523883,0.886530,0.868090,0.891310,0.449520,1219598,6616
hy-3754523883,0.972270,0.927600,0.966670,0.609440,1185782,4910
hy-3754523883,0.977450,0.946810,0.975210,0.602760,1132522,4613
hy-3492508408,0.981920,0.973540,0.981870,0.618230,1154140,4962
hy-3492508408,0.960020,0.899470,0.945640,0.578970,1149719,4926
hy-3492508408,0.972770,0.945000,0.974390,0.600060,1133071,4800
hy-3492508408,0.975480,0.947090,0.978630,0.603510,1118693,4679
hy-3492508408,0.971900,0.919990,0.966560,0.608820,1164731,5021
hy-3492508408,0.962160,0.920630,0.958180,0.547810,1158602,4738
hy-3492508408,0.941860,0.947090,0.966750,0.600830,1146805,5358
hy-3492508408,0.956810,0.937800,0.969400,0.591760,1185009,4878
hy-3492508408,0.983150,0.925930,0.968440,0.604200,1182190,4704
hy-3492508408,0.962200,0.947770,0.975690,0.632360,1221686,4982
hy-3492508408,0.956840,0.938510,0.963750,0.614470,1169595,4667
hy-3492508408,0.982010,0.915340,0.952700,0.612760,1225521,4978
hy-3492508408,0.931610,0.888890,0.951980,0.495180,1250814,6540
hy-3492508408,0.972470,0.934430,0.966040,0.599420,1234576,5155
hy-3492508408,0.972820,0.952080,0.975360,0.603560,1180354,4864
hy-3492508408,0.988860,0.939350,0.976180,0.615820,1168585,4822
